activity_id,user_id,activity_date,activity_type,points_earned
A05428,U1795,2026-01-13,Message,43
A05429,U2507,2025-07-21,Event Join,20
A05430,U0473,2024-06-26,Referral,4
A05431,U0374,2024-09-18,Referral,21
A05432,U4336,2025-03-07,AMA Join,26
A05433,U0790,2025-05-28,Referral,3
A05434,U2763,2025-05-06,Quest Complete,18
A05435,U1129,2025-05-12,Message,16
A05436,U0514,2024-08-21,AMA Join,44
A05437,U1736,2024-05-22,Message,26
A05438,U4423,2025-09-26,Referral,7
A05439,U0123,2024-11-01,Quest Complete,48
A05440,U2279,2024-12-23,Referral,11
A05441,U1432,2024-08-29,Message,1
A05442,U2525,2025-08-02,Message,32
A05443,U3480,2025-10-10,Referral,12
A05444,U3079,2024-02-28,AMA Join,17
A05445,U2716,2024-10-15,Quest Complete,11
A05446,U2165,2025-12-27,Referral,22
A05447,U1651,2026-01-16,Referral,29
A05448,U4823,2024-11-16,Quest Complete,15
A05449,U1874,2026-05-07,AMA Join,8
A05450,U1886,2024-11-11,AMA Join,35
A05451,U0722,2025-07-16,Event Join,27
A05452,U3523,2024-10-29,Event Join,15
A05453,U2206,2024-11-18,Quest Complete,48
A05454,U3988,2024-03-22,Quest Complete,45
A05455,U4785,2025-10-27,Referral,47
A05456,U3436,2024-10-05,Quest Complete,26
A05457,U0250,2026-02-03,Message,30
A05458,U2974,2025-11-29,Message,26
A05459,U4438,2025-07-14,AMA Join,26
A05460,U0859,2025-08-13,AMA Join,1
A05461,U4221,2025-02-06,Message,25
A05462,U3196,2025-07-09,AMA Join,6
A05463,U1052,2024-12-19,AMA Join,12
A05464,U0829,2025-03-21,Event Join,21
A05465,U1431,2025-03-30,AMA Join,6
A05466,U1310,2024-10-21,Event Join,1
A05467,U4606,2025-02-01,Referral,29
A05468,U0684,2025-01-21,Event Join,26
A05469,U1993,2024-08-14,AMA Join,47
A05470,U0682,2025-05-21,Referral,42
A05471,U2542,2024-10-23,Message,37
A05472,U1804,2025-09-12,Event Join,37
A05473,U0849,2024-12-14,Quest Complete,49
A05474,U3596,2025-02-09,Message,36
A05475,U3177,2025-07-03,Referral,50
A05476,U0133,2024-09-24,Event Join,16
A05477,U3803,2026-04-19,Referral,39
A05478,U0783,2026-04-18,Event Join,35
A05479,U3141,2024-08-29,AMA Join,9
A05480,U2196,2024-08-16,Event Join,3
A05481,U1597,2025-12-29,AMA Join,43
A05482,U3274,2025-04-16,Quest Complete,47
A05483,U2419,2025-10-31,Event Join,33
A05484,U4159,2025-09-12,AMA Join,20
A05485,U4469,2026-01-27,Event Join,48
A05486,U0847,2024-12-17,Referral,36
A05487,U4800,2024-10-25,Message,42
A05488,U4077,2024-08-11,Event Join,23
A05489,U4572,2025-04-18,Referral,33
A05490,U3254,2025-07-11,Message,45
A05491,U4813,2026-02-09,Quest Complete,6
A05492,U2085,2025-02-12,AMA Join,16
A05493,U3165,2026-02-11,Quest Complete,29
A05494,U0423,2024-08-20,Quest Complete,13
A05495,U4265,2025-05-08,AMA Join,2
A05496,U1792,2024-08-23,Quest Complete,18
A05497,U2190,2025-11-03,Message,40
A05498,U2075,2024-06-03,Quest Complete,32
A05499,U0576,2026-04-10,Referral,32
A05500,U3475,2024-08-27,Referral,10
A05501,U3167,2025-02-15,Referral,28
A05502,U0454,2024-08-22,Quest Complete,46
A05503,U0258,2025-12-14,AMA Join,21
A05504,U4462,2025-10-29,Referral,13
A05505,U2491,2024-10-27,Message,42
A05506,U0121,2025-12-11,Event Join,44
A05507,U0649,2024-08-01,Message,26
A05508,U3230,2025-08-18,AMA Join,44
A05509,U2074,2024-12-12,AMA Join,24
A05510,U4798,2025-04-02,Event Join,2
A05511,U1228,2025-09-15,Event Join,49
A05512,U0625,2026-02-21,Quest Complete,47
A05513,U0794,2025-11-07,Event Join,44
A05514,U0702,2025-06-14,Referral,3
A05515,U1426,2025-07-18,Message,11
A05516,U4019,2025-09-11,Referral,12
A05517,U0244,2026-02-11,Event Join,18
A05518,U4039,2026-03-03,AMA Join,34
A05519,U2581,2025-11-06,Quest Complete,38
A05520,U2847,2024-05-25,AMA Join,9
A05521,U4099,2024-10-08,Referral,19
A05522,U0966,2024-05-28,AMA Join,41
A05523,U1316,2024-06-23,Referral,48
A05524,U2186,2024-12-03,Event Join,26
A05525,U4601,2025-11-02,AMA Join,35
A05526,U4439,2024-08-14,Message,22
A05527,U4458,2024-04-25,AMA Join,17
A05528,U2725,2025-12-01,Event Join,12
A05529,U4478,2025-07-10,Event Join,47
A05530,U1143,2025-07-01,AMA Join,22
A05531,U2776,2024-06-22,AMA Join,37
A05532,U4631,2025-10-13,Quest Complete,38
A05533,U1873,2026-01-12,AMA Join,22
A05534,U4769,2024-05-29,Referral,44
A05535,U0698,2025-05-07,Message,15
A05536,U0956,2025-08-13,Message,36
A05537,U4680,2026-02-26,Event Join,24
A05538,U3261,2025-12-18,Quest Complete,34
A05539,U0722,2025-03-31,Quest Complete,36
A05540,U3928,2025-02-05,Message,40
A05541,U0318,2025-11-06,Quest Complete,50
A05542,U1572,2025-06-20,Event Join,17
A05543,U0533,2025-11-26,Message,13
A05544,U0047,2025-11-27,Referral,8
A05545,U2430,2025-07-08,Referral,37
A05546,U0352,2024-12-08,Message,31
A05547,U1444,2025-02-06,Quest Complete,11
A05548,U4841,2024-09-27,AMA Join,34
A05549,U0146,2025-10-21,Event Join,38
A05550,U2511,2024-09-25,Event Join,3
A05551,U3202,2024-04-27,Event Join,14
A05552,U4198,2025-12-29,Event Join,6
A05553,U0883,2024-12-06,Event Join,30
A05554,U0238,2024-02-29,Event Join,21
A05555,U0801,2025-05-09,Message,14
A05556,U3964,2024-09-11,Event Join,40
A05557,U4942,2025-06-27,Quest Complete,31
A05558,U2280,2025-05-03,Message,16
A05559,U0348,2026-02-21,Quest Complete,21
A05560,U1409,2025-11-12,Message,40
A05561,U2796,2025-06-11,AMA Join,45
A05562,U3682,2026-06-03,Message,19
A05563,U3286,2025-08-08,Message,50
A05564,U3543,2026-01-29,AMA Join,30
A05565,U0218,2025-09-19,Referral,34
A05566,U2863,2024-12-25,Referral,34
A05567,U2389,2025-04-27,Referral,4
A05568,U2206,2024-11-26,AMA Join,49
A05569,U1471,2025-12-25,Message,18
A05570,U2490,2025-08-06,AMA Join,16
A05571,U1682,2024-09-10,Referral,36
A05572,U2816,2025-07-17,Quest Complete,11
A05573,U2371,2025-09-18,Event Join,36
A05574,U1617,2024-09-12,Quest Complete,4
A05575,U0722,2025-04-16,Referral,33
A05576,U1650,2025-08-26,Quest Complete,35
A05577,U0936,2024-07-07,Event Join,20
A05578,U3281,2024-09-03,AMA Join,32
A05579,U1016,2025-09-21,Event Join,33
A05580,U1700,2024-04-15,Event Join,35
A05581,U2192,2025-03-05,Event Join,47
A05582,U3536,2025-12-06,Quest Complete,24
A05583,U4712,2024-05-15,Referral,19
A05584,U2555,2025-06-20,Referral,9
A05585,U3053,2024-09-17,Referral,8
A05586,U3010,2024-03-22,Quest Complete,22
A05587,U0524,2025-07-11,AMA Join,1
A05588,U0085,2024-03-24,Message,10
A05589,U3380,2024-06-26,Event Join,41
A05590,U0380,2024-11-04,Referral,42
A05591,U4040,2024-11-09,Message,16
A05592,U1196,2024-07-10,Message,21
A05593,U2286,2026-01-01,Message,14
A05594,U4142,2024-11-23,Event Join,22
A05595,U2732,2025-08-03,Message,34
A05596,U0176,2025-03-10,Quest Complete,36
A05597,U3565,2024-09-14,Message,19
A05598,U2146,2025-12-30,Event Join,34
A05599,U4990,2024-08-19,Referral,25
A05600,U4694,2024-10-12,Referral,40
A05601,U4211,2025-10-25,AMA Join,32
A05602,U2218,2025-04-18,AMA Join,28
A05603,U3000,2025-08-08,Quest Complete,47
A05604,U2503,2024-09-26,Quest Complete,10
A05605,U4626,2025-06-08,AMA Join,24
A05606,U3160,2026-04-07,AMA Join,24
A05607,U4892,2024-06-13,AMA Join,5
A05608,U2135,2025-05-08,AMA Join,12
A05609,U0542,2025-04-18,Message,48
A05610,U0435,2026-01-11,AMA Join,5
A05611,U2752,2024-08-30,AMA Join,39
A05612,U0557,2025-03-27,Message,41
A05613,U3672,2024-09-04,Referral,6
A05614,U2683,2025-04-17,Quest Complete,48
A05615,U0089,2025-07-02,Message,34
A05616,U2863,2025-01-25,Quest Complete,17
A05617,U4600,2024-10-29,AMA Join,14
A05618,U4978,2026-04-15,Quest Complete,23
A05619,U2600,2025-05-04,Referral,11
A05620,U0728,2025-05-23,Quest Complete,34
A05621,U2980,2026-02-17,Message,43
A05622,U2421,2025-11-10,AMA Join,12
A05623,U2942,2024-10-10,Quest Complete,30
A05624,U3417,2025-06-26,Event Join,48
A05625,U1454,2025-03-04,Referral,41
A05626,U1685,2025-05-23,Quest Complete,9
A05627,U2179,2025-05-19,AMA Join,37
A05628,U2165,2025-08-11,Event Join,10
A05629,U1999,2026-02-20,Message,33
A05630,U2538,2025-03-17,Quest Complete,25
A05631,U3557,2025-06-11,Referral,16
A05632,U0844,2025-08-18,Quest Complete,4
A05633,U2883,2025-05-07,AMA Join,46
A05634,U3147,2025-06-02,Message,42
A05635,U2986,2025-04-02,AMA Join,5
A05636,U3507,2026-03-29,AMA Join,13
A05637,U3303,2026-02-26,AMA Join,37
A05638,U3543,2026-04-16,Referral,12
A05639,U4124,2024-09-19,Event Join,12
A05640,U0401,2025-09-02,AMA Join,37
A05641,U2968,2025-04-17,Referral,14
A05642,U0265,2026-03-05,AMA Join,7
A05643,U2830,2024-05-21,Event Join,43
A05644,U1619,2026-04-02,Message,41
A05645,U2078,2024-04-24,AMA Join,36
A05646,U0569,2025-08-15,AMA Join,16
A05647,U2067,2025-12-01,Event Join,42
A05648,U2106,2025-03-16,AMA Join,37
A05649,U2496,2024-10-16,AMA Join,21
A05650,U4207,2026-01-12,Event Join,18
A05651,U1672,2025-12-20,Message,32
A05652,U2674,2024-12-20,Quest Complete,48
A05653,U0316,2024-12-14,AMA Join,11
A05654,U4420,2024-06-29,Event Join,16
A05655,U1208,2025-07-05,Referral,22
A05656,U3189,2024-06-04,Event Join,37
A05657,U4969,2025-07-02,Referral,46
A05658,U0874,2025-01-16,AMA Join,29
A05659,U1304,2025-03-23,Referral,29
A05660,U1981,2024-05-29,AMA Join,37
A05661,U2159,2024-04-22,Quest Complete,5
A05662,U2318,2025-11-04,Message,22
A05663,U3102,2026-02-10,Referral,30
A05664,U3020,2025-01-05,Quest Complete,47
A05665,U2743,2025-09-06,AMA Join,32
A05666,U2740,2025-10-05,AMA Join,38
A05667,U3210,2025-06-23,Referral,16
A05668,U0564,2025-09-18,AMA Join,2
A05669,U2859,2025-05-13,Message,9
A05670,U2774,2024-11-12,Quest Complete,47
A05671,U0626,2025-07-10,Referral,13
A05672,U1683,2024-02-21,Message,3
A05673,U0307,2024-12-25,Referral,32
A05674,U4686,2025-12-27,Quest Complete,34
A05675,U1068,2026-04-18,Referral,37
A05676,U1660,2024-08-13,Event Join,44
A05677,U2822,2024-10-15,Event Join,43
A05678,U3075,2026-04-11,Event Join,12
A05679,U0768,2024-03-27,Referral,26
A05680,U3755,2025-12-23,Message,13
A05681,U4015,2025-04-26,Event Join,20
A05682,U3274,2025-01-28,Quest Complete,42
A05683,U2405,2025-01-29,Referral,37
A05684,U2458,2025-12-14,Message,30
A05685,U0797,2024-01-30,Event Join,11
A05686,U3595,2025-01-17,Referral,6
A05687,U4995,2024-12-25,AMA Join,42
A05688,U4653,2024-07-24,AMA Join,50
A05689,U4536,2026-05-26,Event Join,43
A05690,U2978,2024-09-30,Message,20
A05691,U3304,2024-07-26,Quest Complete,18
A05692,U1278,2026-05-23,Referral,13
A05693,U4329,2025-04-03,Referral,13
A05694,U1909,2024-07-05,Referral,27
A05695,U2598,2025-06-27,Message,14
A05696,U3404,2025-10-10,Referral,32
A05697,U0375,2025-06-25,Referral,8
A05698,U0424,2025-11-20,Quest Complete,4
A05699,U4395,2026-01-09,AMA Join,47
A05700,U2862,2025-12-27,Message,14
A05701,U2922,2024-08-23,Message,44
A05702,U4539,2024-11-13,Quest Complete,27
A05703,U2302,2026-03-04,AMA Join,4
A05704,U4553,2024-08-20,Referral,50
A05705,U3887,2024-10-04,Message,8
A05706,U0798,2025-04-03,Quest Complete,26
A05707,U2395,2025-11-26,AMA Join,12
A05708,U3264,2024-11-27,Message,40
A05709,U2877,2025-10-11,Quest Complete,9
A05710,U3519,2024-04-30,Referral,49
A05711,U3292,2025-02-14,AMA Join,13
A05712,U0494,2025-11-11,AMA Join,3
A05713,U2714,2024-07-30,Referral,13
A05714,U4699,2024-12-03,Quest Complete,22
A05715,U1248,2024-08-20,Referral,1
A05716,U1446,2026-01-17,AMA Join,30
A05717,U4475,2025-04-03,Event Join,50
A05718,U4545,2024-12-04,Message,10
A05719,U0997,2025-12-13,AMA Join,7
A05720,U0928,2024-07-30,Event Join,2
A05721,U0206,2025-07-29,Quest Complete,41
A05722,U3722,2026-01-28,AMA Join,22
A05723,U1892,2024-05-22,Referral,43
A05724,U0255,2024-10-04,AMA Join,10
A05725,U3265,2024-11-29,Event Join,25
A05726,U3507,2026-01-03,Message,38
A05727,U1055,2025-11-30,Event Join,23
A05728,U4920,2024-05-23,Message,48
A05729,U1122,2026-04-10,Message,14
A05730,U3166,2025-04-17,Referral,39
A05731,U3759,2024-10-25,AMA Join,50
A05732,U3856,2025-06-16,Referral,32
A05733,U3397,2025-06-16,Message,15
A05734,U0273,2025-01-05,Message,10
A05735,U2430,2025-03-28,AMA Join,28
A05736,U0590,2024-08-29,Referral,21
A05737,U3960,2026-03-22,Event Join,25
A05738,U3251,2025-02-19,AMA Join,14
A05739,U1844,2025-07-31,Event Join,5
A05740,U4209,2024-07-03,Message,10
A05741,U3863,2025-02-02,Message,28
A05742,U1205,2024-04-23,Event Join,40
A05743,U2064,2025-02-05,Quest Complete,15
A05744,U1185,2026-01-16,Quest Complete,18
A05745,U1374,2024-02-10,AMA Join,39
A05746,U1456,2026-02-07,Message,29
A05747,U3029,2024-03-23,Quest Complete,28
A05748,U1647,2025-08-27,Message,27
A05749,U2028,2025-02-23,AMA Join,9
A05750,U3833,2025-06-03,Referral,42
A05751,U2323,2025-08-08,Event Join,21
A05752,U2404,2024-12-02,AMA Join,44
A05753,U1846,2025-07-10,Message,15
A05754,U0605,2025-08-11,Event Join,3
A05755,U0078,2025-03-02,Message,8
A05756,U2092,2025-10-28,Referral,24
A05757,U0686,2025-05-17,Quest Complete,37
A05758,U4737,2024-12-13,Quest Complete,24
A05759,U1755,2026-02-18,Event Join,40
A05760,U1621,2024-03-28,Event Join,29
A05761,U0160,2025-08-19,Event Join,24
A05762,U1416,2026-02-17,Quest Complete,12
A05763,U0380,2024-11-09,Event Join,31
A05764,U3355,2025-03-03,AMA Join,17
A05765,U2225,2024-10-23,Quest Complete,1
A05766,U0956,2025-05-04,Message,36
A05767,U0140,2025-03-23,Message,33
A05768,U0902,2024-11-30,Message,14
A05769,U3259,2024-11-30,Quest Complete,36
A05770,U3382,2026-02-10,Message,29
A05771,U3343,2024-07-21,Event Join,49
A05772,U3451,2025-05-06,Quest Complete,11
A05773,U1674,2024-04-25,Referral,3
A05774,U1175,2026-05-11,Message,34
A05775,U3640,2024-06-06,Event Join,29
A05776,U0678,2026-01-09,AMA Join,38
A05777,U3671,2025-11-02,Message,22
A05778,U3630,2025-02-07,Message,30
A05779,U2676,2025-05-24,AMA Join,33
A05780,U3759,2024-08-08,Quest Complete,29
A05781,U2762,2025-03-27,AMA Join,4
A05782,U4028,2024-10-06,AMA Join,22
A05783,U2074,2024-07-25,Message,19
A05784,U1833,2025-05-25,Referral,18
A05785,U0107,2024-07-11,Event Join,13
A05786,U0130,2024-08-31,AMA Join,8
A05787,U1232,2024-07-28,AMA Join,2
A05788,U0472,2025-12-23,Referral,28
A05789,U0431,2025-09-12,Event Join,35
A05790,U3377,2025-09-21,Event Join,29
A05791,U3209,2025-06-16,Quest Complete,39
A05792,U4943,2025-05-10,Quest Complete,2
A05793,U3851,2024-07-11,Message,36
A05794,U2731,2025-06-23,Event Join,13
A05795,U2770,2024-07-12,AMA Join,39
A05796,U2861,2025-12-16,AMA Join,29
A05797,U3089,2026-02-23,Quest Complete,26
A05798,U4593,2025-09-28,AMA Join,6
A05799,U1161,2025-10-08,Referral,5
A05800,U3918,2026-04-03,AMA Join,9
A05801,U2688,2026-02-04,Quest Complete,2
A05802,U3580,2024-10-08,Message,18
A05803,U0638,2025-07-17,Quest Complete,28
A05804,U0529,2025-04-11,Event Join,22
A05805,U1427,2026-03-31,Referral,2
A05806,U2797,2025-02-07,Message,4
A05807,U1531,2026-04-12,Referral,32
A05808,U1667,2026-05-03,Quest Complete,8
A05809,U1647,2025-06-01,Message,2
A05810,U1371,2026-05-08,Event Join,38
A05811,U3819,2025-08-06,Referral,50
A05812,U3894,2024-07-05,Message,46
A05813,U4819,2026-03-21,Event Join,37
A05814,U3139,2024-04-10,Event Join,16
A05815,U2248,2025-12-09,Message,21
A05816,U0845,2024-02-24,Message,17
A05817,U2438,2025-07-21,Referral,33
A05818,U1679,2024-09-27,Referral,20
A05819,U0205,2026-02-25,Referral,32
A05820,U0942,2024-09-10,Referral,34
A05821,U3322,2026-01-04,AMA Join,42
A05822,U2475,2025-03-18,AMA Join,30
A05823,U4620,2025-11-15,Quest Complete,44
A05824,U4424,2025-09-06,Quest Complete,25
A05825,U4036,2025-05-04,Referral,48
A05826,U4553,2024-10-04,Message,27
A05827,U4341,2026-02-12,Message,10
A05828,U0851,2025-07-09,Quest Complete,19
A05829,U2220,2024-06-22,Quest Complete,31
A05830,U3357,2026-04-21,Event Join,16
A05831,U4261,2024-07-22,AMA Join,49
A05832,U3884,2025-04-03,Quest Complete,12
A05833,U2608,2025-12-22,Referral,43
A05834,U3563,2026-02-20,Referral,19
A05835,U4833,2024-07-17,Referral,8
A05836,U2333,2024-08-18,Quest Complete,1
A05837,U1627,2024-08-25,Event Join,11
A05838,U3943,2025-12-16,AMA Join,2
A05839,U0385,2025-09-02,Quest Complete,4
A05840,U1905,2026-01-12,Quest Complete,35
A05841,U4190,2024-10-08,Message,6
A05842,U4026,2024-08-15,Message,11
A05843,U2335,2024-08-18,Message,41
A05844,U1452,2025-01-25,Event Join,7
A05845,U2958,2026-03-14,Message,16
A05846,U4795,2025-12-05,Referral,37
A05847,U4107,2026-02-01,Referral,33
A05848,U4286,2025-06-28,Quest Complete,10
A05849,U3499,2024-06-16,Message,29
A05850,U0728,2025-01-28,Referral,33
A05851,U4612,2025-06-29,Referral,19
A05852,U3369,2024-10-14,Referral,2
A05853,U4448,2024-03-27,Referral,26
A05854,U1972,2025-04-06,Event Join,35
A05855,U1664,2025-10-04,AMA Join,49
A05856,U4655,2025-03-19,Quest Complete,23
A05857,U1612,2025-03-25,Referral,48
A05858,U0194,2025-07-10,Referral,29
A05859,U2695,2024-07-11,Event Join,29
A05860,U0862,2024-10-30,Referral,12
A05861,U0465,2024-07-17,Message,17
A05862,U1524,2025-11-12,Message,27
A05863,U4257,2026-02-14,Event Join,31
A05864,U0360,2024-10-31,Message,12
A05865,U3399,2025-09-05,Quest Complete,37
A05866,U3193,2025-08-14,Event Join,39
A05867,U3131,2025-03-18,Message,49
A05868,U4339,2025-12-19,Message,11
A05869,U0745,2024-11-30,Quest Complete,44
A05870,U3280,2025-12-29,Event Join,11
A05871,U4604,2025-02-15,Quest Complete,36
A05872,U1132,2025-01-13,AMA Join,30
A05873,U1764,2026-03-08,Referral,43
A05874,U1144,2025-04-15,Message,18
A05875,U1564,2024-03-13,Referral,23
A05876,U1432,2024-09-09,Message,17
A05877,U3031,2025-11-06,Referral,28
A05878,U0914,2025-08-17,Event Join,28
A05879,U2965,2025-05-03,Quest Complete,36
A05880,U3614,2026-05-25,AMA Join,12
A05881,U2242,2026-01-20,Event Join,44
A05882,U1073,2026-01-09,Referral,36
A05883,U1571,2025-04-22,Event Join,47
A05884,U1322,2025-02-16,Event Join,7
A05885,U4187,2024-06-04,Referral,43
A05886,U0805,2026-06-14,Quest Complete,12
A05887,U3029,2024-05-15,Message,39
A05888,U1729,2024-07-06,Event Join,40
A05889,U4346,2024-05-26,Quest Complete,35
A05890,U2976,2024-07-31,Event Join,40
A05891,U4686,2025-11-11,Message,18
A05892,U0458,2026-01-20,Referral,20
A05893,U3152,2025-05-14,Message,29
A05894,U2298,2025-08-31,AMA Join,36
A05895,U2125,2025-02-25,Message,25
A05896,U0851,2025-06-20,AMA Join,23
A05897,U4560,2024-10-01,AMA Join,41
A05898,U2602,2026-03-12,Event Join,35
A05899,U0031,2025-02-27,AMA Join,1
A05900,U0294,2024-10-25,Referral,50
A05901,U3108,2026-01-26,Event Join,35
A05902,U4059,2024-08-14,Referral,45
A05903,U1520,2026-05-07,AMA Join,40
A05904,U4838,2025-02-03,Quest Complete,9
A05905,U4050,2025-04-25,Quest Complete,31
A05906,U0361,2025-12-26,Referral,29
A05907,U4753,2025-10-17,Referral,5
A05908,U0602,2026-04-01,Message,40
A05909,U4967,2025-05-30,Message,20
A05910,U4653,2024-03-17,AMA Join,8
A05911,U2327,2025-10-06,AMA Join,23
A05912,U3022,2026-06-12,Referral,41
A05913,U1568,2025-01-13,AMA Join,46
A05914,U3665,2026-02-13,Message,15
A05915,U4755,2024-07-05,Quest Complete,47
A05916,U2873,2024-06-15,Message,22
A05917,U2389,2025-02-12,AMA Join,3
A05918,U4683,2025-01-07,Event Join,36
A05919,U2601,2024-08-20,Message,26
A05920,U1978,2024-07-05,Message,11
A05921,U1098,2024-12-31,Event Join,49
A05922,U1771,2025-02-04,Quest Complete,10
A05923,U1006,2024-08-07,Message,40
A05924,U1248,2024-07-22,Quest Complete,21
A05925,U2232,2025-02-12,Message,13
A05926,U2329,2026-05-29,Event Join,18
A05927,U3971,2026-01-05,Referral,27
A05928,U1729,2024-07-01,Message,31
A05929,U0620,2025-01-13,Message,50
A05930,U0820,2025-01-18,AMA Join,45
A05931,U1232,2024-04-05,Referral,35
A05932,U3782,2025-06-26,Referral,41
A05933,U4390,2025-04-05,Referral,35
A05934,U0974,2024-09-02,Quest Complete,30
A05935,U3800,2025-10-21,AMA Join,7
A05936,U3306,2025-03-31,Message,29
A05937,U0436,2024-08-09,Quest Complete,34
A05938,U1074,2024-03-04,AMA Join,21
A05939,U2392,2025-03-23,AMA Join,26
A05940,U2756,2025-11-13,Quest Complete,17
A05941,U3121,2025-06-30,Quest Complete,40
A05942,U2702,2026-05-21,Referral,40
A05943,U4850,2025-01-06,Referral,26
A05944,U1783,2025-11-28,Referral,36
A05945,U1998,2025-11-04,Event Join,33
A05946,U2497,2026-03-05,Referral,20
A05947,U0359,2025-08-04,Message,21
A05948,U3186,2024-12-29,Referral,17
A05949,U2452,2024-08-11,Message,8
A05950,U1382,2025-11-12,Referral,9
A05951,U2356,2025-09-22,AMA Join,4
A05952,U3041,2025-08-19,Quest Complete,24
A05953,U0531,2026-01-13,Quest Complete,45
A05954,U4090,2025-02-19,Event Join,8
A05955,U4618,2024-11-23,Quest Complete,6
A05956,U2181,2026-02-12,Message,15
A05957,U4603,2025-01-16,Referral,49
A05958,U3512,2025-10-04,Quest Complete,14
A05959,U1045,2024-05-28,Event Join,16
A05960,U1806,2024-10-24,AMA Join,7
A05961,U0250,2025-12-22,Referral,17
A05962,U4896,2025-08-11,Event Join,39
A05963,U2016,2025-09-17,Quest Complete,32
A05964,U3477,2025-01-28,Message,2
A05965,U4506,2025-05-12,Referral,20
A05966,U4356,2024-05-03,Event Join,34
A05967,U3963,2024-09-11,Event Join,12
A05968,U1729,2024-04-02,Event Join,25
A05969,U2077,2025-07-18,Event Join,48
A05970,U0373,2025-11-23,Referral,28
A05971,U4903,2026-02-08,Quest Complete,27
A05972,U2636,2025-09-21,Event Join,28
A05973,U1085,2025-09-14,AMA Join,1
A05974,U0851,2025-08-02,Event Join,28
A05975,U4703,2025-06-07,Quest Complete,49
A05976,U0269,2024-06-24,Event Join,35
A05977,U4810,2024-05-21,Referral,29
A05978,U2569,2024-05-01,Event Join,15
A05979,U0769,2025-01-03,Referral,39
A05980,U1634,2024-11-22,Quest Complete,9
A05981,U0504,2024-11-29,Event Join,17
A05982,U2817,2026-03-03,Quest Complete,9
A05983,U0425,2025-03-06,AMA Join,50
A05984,U3685,2024-11-21,Event Join,45
A05985,U2590,2024-05-05,Message,7
A05986,U1889,2025-08-21,Event Join,39
A05987,U4876,2025-06-05,Event Join,15
A05988,U0593,2024-09-20,Message,45
A05989,U3004,2024-11-11,Quest Complete,11
A05990,U4478,2025-04-12,Message,12
A05991,U2357,2024-06-12,Event Join,12
A05992,U4364,2024-05-21,Quest Complete,31
A05993,U0298,2025-01-30,Quest Complete,20
A05994,U3914,2025-11-18,AMA Join,49
A05995,U0784,2025-11-25,Referral,5
A05996,U0519,2024-05-24,Message,7
A05997,U4322,2025-05-29,AMA Join,18
A05998,U0216,2025-02-11,Message,24
A05999,U3971,2026-05-06,Event Join,35
A06000,U3232,2025-09-19,Quest Complete,4
A06001,U0664,2025-12-25,Referral,1
A06002,U3104,2025-05-28,Quest Complete,38
A06003,U4089,2025-07-29,Quest Complete,31
A06004,U0416,2024-08-08,Referral,9
A06005,U4402,2026-01-04,Message,12
A06006,U4124,2025-02-06,Referral,23
A06007,U4784,2025-05-20,Message,18
A06008,U1444,2024-12-29,AMA Join,46
A06009,U2731,2025-10-04,Event Join,11
A06010,U1027,2025-09-03,Quest Complete,5
A06011,U0199,2025-12-13,Message,11
A06012,U3854,2024-06-29,AMA Join,34
A06013,U0384,2025-05-27,AMA Join,48
A06014,U2897,2025-08-29,Event Join,15
A06015,U0023,2024-11-09,Event Join,45
A06016,U4885,2026-05-04,Quest Complete,49
A06017,U2819,2025-07-24,Message,30
A06018,U4558,2025-07-01,Event Join,41
A06019,U1770,2025-11-16,Event Join,17
A06020,U2927,2026-01-20,AMA Join,20
A06021,U0957,2025-04-30,Message,43
A06022,U1370,2024-09-09,AMA Join,33
A06023,U1819,2024-09-16,Event Join,24
A06024,U2846,2024-11-14,Message,3
A06025,U2769,2025-05-03,Quest Complete,17
A06026,U0592,2024-05-05,Event Join,19
A06027,U2443,2024-11-02,Quest Complete,22
A06028,U4202,2024-08-06,AMA Join,5
A06029,U2611,2025-11-25,AMA Join,13
A06030,U0746,2024-02-29,Quest Complete,19
A06031,U3605,2025-07-15,Referral,49
A06032,U3070,2025-12-04,Referral,47
A06033,U4866,2024-11-06,Quest Complete,29
A06034,U0733,2025-08-05,AMA Join,16
A06035,U3150,2026-03-30,Event Join,42
A06036,U2798,2025-07-02,AMA Join,32
A06037,U1287,2025-03-09,Message,13
A06038,U3660,2026-03-18,Referral,25
A06039,U2275,2024-12-09,AMA Join,5
A06040,U0200,2025-08-30,Event Join,46
A06041,U4708,2024-10-31,Referral,4
A06042,U0320,2024-03-20,Referral,25
A06043,U1994,2024-03-23,Message,17
A06044,U3573,2025-09-27,AMA Join,3
A06045,U1826,2025-09-25,Referral,15
A06046,U0729,2025-01-02,Referral,33
A06047,U2899,2024-09-24,Event Join,40
A06048,U4588,2026-01-21,Event Join,15
A06049,U2335,2024-05-19,Message,3
A06050,U3582,2026-05-24,Message,33
A06051,U1685,2025-04-02,Quest Complete,29
A06052,U1391,2024-06-08,Referral,19
A06053,U3126,2025-01-12,Message,28
A06054,U0090,2024-12-04,AMA Join,18
A06055,U4702,2025-01-14,Event Join,43
A06056,U0182,2025-02-27,Event Join,17
A06057,U3515,2025-11-18,Message,35
A06058,U0948,2025-09-16,Referral,24
A06059,U2517,2026-06-17,Message,31
A06060,U0575,2024-11-23,Referral,14
A06061,U1966,2025-06-23,Referral,7
A06062,U4575,2024-09-24,Event Join,16
A06063,U2828,2024-12-23,Referral,8
A06064,U3376,2025-07-24,Referral,30
